,,16-parameter model,,New model,8-parameter,New model,10-parameter
Year,Actual %,Forecast %,Error %,Forecast %,Error %,Forecast %,Error %
1958,110,110,0,112,2,112,- 2
1959,114,117,-3 -,115,-1 -,117,- 3
1960,101,104,- 3,100,1,103,- 2
1961,122,120,2,115,7,114,8
1962,97,97,0,102,-5 -,102,-5
1963,98,97,1,96,3,97,1
1964,110,111,- 1,116,-6,116,-6 -
1965,82,82,0,86,-4,84,-2
1966,87,90,-3,89,-2,89,-2
1967,100,102,-2,102,-2,102,-2
1968,90,85,5,84,6,86,4
1969,100,98,2,102,-2,102,-2
1970,112,110,2,108,4,107,5
1971,104,99,5,102,2,102,2
1972,76,76,0,77,-1,76,0
1973,108,108,0,103,5,104,4
1974,88,92,- 4,86,2,85,3
1975,115,118,-3,108,7,106,9
1976,103,102,1,94,9,94,9
1977,104,102,2,105,- 1,105,- 1
1978,109,107,2,98,11,102,7
1979,81,82,- 1,84,-3,85,-4
1980,104,108,-4,104,0,104,0
1981,100,104,- -4,106,-6,102,-2
1982,86,91,-5 -,86,0,88,- -2
1983,113,113,0,109,5,108,5
1984,96,100,-4,103,-7,102,-6
1985,93,99,- -6,98,-5,95,-2
1986,87,88,-1 -,91,-4,90,-3
1987,81,79,2,80,1,79,2
1988,119,113,6,116,3,117,2
1989,101,102,-1 -,102,-1 -,104,-3
1990,106,101,5,105,1,107,-1 -
1991,91,94,-3,95,-4,91,0
1992,93,92,1,104,11,104,- 11
1993,100,103,-3,107,-7,105,-5
1994,110,92,18,100,11,100,10
1995,100,97,3,105,- -5,105,- -5